1,1,1,1: Ataque +3.
1,1,2,2: Ataque +6
1,1,3,3: Ataque +9.
1,1,4,4: Ataque +5 % Bonus adicional +7
1,1,5,5: Ataque +6 % Bonus adicional +8
1,1,6,6: Ataque +8 % Bonus adicional +9
1,1,7,7: Ataque +10 % Bonus adicional +10
2,1,1,1: Ataque +4 y afinidad +3 % mientras esté activo.
2,1,2,2: Ataque +8 y afinidad +5 % mientras esté activo.
2,1,3,3: Ataque +12 y afinidad +7 % mientras esté activo.
2,1,4,4: Ataque +16 y afinidad +10 % mientras esté activo.
2,1,5,5: Ataque +20 y afinidad +15 % mientras esté activo.
3,1,1,1: Ataque +5 mientras esté activo.
3,1,2,2: Ataque +10 mientras esté activo.
3,1,3,3: Ataque +20 mientras esté activo.
4,1,1,1: Ataque +5 mientras esté activo.
4,1,2,2: Ataque +10 mientras esté activo.
4,1,3,3: Ataque +15 mientras esté activo.
4,1,4,4: Ataque +20 mientras esté activo.
4,1,5,5: Ataque +25 mientras esté activo.
5,1,1,1: Ataque +5 mientras esté activo.
5,1,2,2: Ataque +10 mientras esté activo.
5,1,3,3: Ataque +20 mientras esté activo.
6,1,1,1: Afinidad +5 %.
6,1,2,2: Afinidad +10 %
6,1,3,3: Afinidad +15 %.
6,1,4,4: Afinidad +20 %.
6,1,5,5: Afinidad +25 %.
6,1,6,6: Afinidad +30 %.
6,1,7,7: Afinidad +40 %.
7,1,1,1: Aumenta en un 30 % el daño de los ataques críticos.
7,1,2,2: Aumenta en un 35 % el daño de los ataques críticos.
7,1,3,3: Aumenta en un 40 % el daño de los ataques críticos.
8,1,1,1: Los ataques a puntos débiles tienen afinidad +15 %.
8,1,2,2: Los ataques a puntos débiles tienen afinidad +30 %.
8,1,3,3: Los ataques a puntos débiles tienen afinidad +50 %.
9,1,1,"1: Mientras está activo, aumenta la afinidad un 10 % y reduce el gasto de resistencia un 30 %."
9,1,2,"2: Mientras está activo, aumenta la afinidad un 20 % y reduce el gasto de resistencia un 30 %."
9,1,3,"3: Mientras está activo, aumenta la afinidad un 30 % y reduce el gasto de resistencia un 50 %."
9,1,4,"4: Mientras está activo, aumenta la afinidad un 40 % y reduce el gasto de resistencia un 50 %."
9,1,5,"5: Mientras está activo, aumenta la afinidad un 50 % y reduce el gasto de resistencia un 50 %."
10,1,1,"1: Mientras está activo, aumenta la afinidad un 10 %."
10,1,2,"2: Mientras está activo, aumenta la afinidad un 20 %."
10,1,3,"3: Mientras está activo, aumenta la afinidad un 30 %."
11,1,1,1: Daño elemental +5 % mientras esté activo.
11,1,2,2: Daño elemental +10 % mientras esté activo.
11,1,3,3: Daño elemental +15 % mientras esté activo.
12,1,1,1: Ataque de fuego +2
12,1,2,2: Ataque de fuego +3
12,1,3,3: Ataque de fuego +5 % Bonus adicional +4
12,1,4,4: Ataque de fuego +10 % Bonus adicional +4
12,1,5,5: Ataque de fuego +20 % Bonus adicional +4
13,1,1,1: Ataque de agua +2
13,1,2,2: Ataque de agua +3
13,1,3,3: Ataque de agua +5 % Bonus adicional +4
13,1,4,4: Ataque de agua +10 % Bonus adicional +4
13,1,5,5: Ataque de agua +20 % Bonus adicional +4
14,1,1,1: Ataque de hielo +2
14,1,2,2: Ataque de hielo +3
14,1,3,3: Ataque de hielo +5 % Bonus adicional +4
14,1,4,4: Ataque de hielo +10 % Bonus adicional +4
14,1,5,5: Ataque de hielo +20 % Bonus adicional +4
15,1,1,1: Ataque de rayo +2
15,1,2,2: Ataque de rayo +3
15,1,3,3: Ataque de rayo +5 % Bonus adicional +4
15,1,4,4: Ataque de rayo +10 % Bonus adicional +4
15,1,5,5: Ataque de rayo +20 % Bonus adicional +4
16,1,1,1: Ataque de draco +2
16,1,2,2: Ataque de draco +3
16,1,3,3: Ataque de draco +5 % Bonus adicional +4
16,1,4,4: Ataque de draco + 10 % Bonus adicional +4
16,1,5,5: Ataque de draco +20 % Bonus adicional +4
17,1,1,1: Acumulación de veneno +5 %. Bonus adicional +1.
17,1,2,2: Acumulación de veneno +10 %. Bonus adicional +2.
17,1,3,3: Acumulación de veneno +20 %. Bonus adicional +5.
18,1,1,1: Acumulación parálisis +5 %. Bonus adicional +1.
18,1,2,2: Acumulación parálisis +10 %. Bonus adicional +2.
18,1,3,3: Acumulación parálisis +20 %. Bonus adicional +5.
19,1,1,1: Acumulación de sueño +5 %. Bonus adicional +1.
19,1,2,2: Acumulación de sueño +10 %. Bonus adicional +2.
19,1,3,3: Acumulación de sueño +20 %. Bonus adicional +5.
20,1,1,1: Acumulación de nitro +5 %. Bonus adicional +1.
20,1,2,2: Acumulación de nitro +10 %. Bonus adicional +2.
20,1,3,3: Acumulación de nitro +20 %. Bonus adicional +5.
21,1,1,1: Afilado del arma +10.
21,1,2,2: Afilado del arma +20.
21,1,3,3: Afilado del arma +30.
21,1,4,4: Afilado del arma +40.
21,1,5,5: Afilado del arma +50.
22,1,1,1: Activo el 10 % de las veces.
22,1,2,2: Activo el 25 % de las veces.
22,1,3,3: Activo el 50 % de las veces.
23,1,1,1: Activo el 3 % de las veces.
23,1,2,2: Activo el 10 % de las veces.
23,1,3,3: Activo el 20 % de las veces.
24,1,1,1: El efecto dura 30 segundos.
24,1,2,2: El efecto dura 60 segundos.
24,1,3,3: El efecto dura 90 segundos.
25,1,1,1: +10 % de daño a enemigos duros y 50 % de reducción de los ataques desviados.
25,1,2,2: +15 % de daño a enemigos duros y 100 % de reducción de los ataques desviados.
25,1,3,3: +30 % de daño a enemigos duros y 100 % de reducción de los ataques desviados.
26,1,1,1: Aumenta un poco el alcance.
26,1,2,2: Aumenta el alcance.
26,1,3,3: Aumenta mucho el alcance.
27,1,1,1: Poder de ataque +5 % cuando la barra de afilado del arma es amarilla o menos.
27,1,2,2: Poder de ataque +10 % cuando la barra de afilado del arma es amarilla o menos.
27,1,3,3: Poder de ataque +10 % cuando la barra de afilado es verde o menos.
28,1,1,1: Activa el efecto de la habilidad.
29,1,1,"1: Las barras se rellenan un 5 % más rápido, y los ataques cargados un 5 % más rápido."
29,1,2,"2: Las barras se rellenan un 10 % más rápido, y los ataques cargados un 10 % más rápido."
29,1,3,"3: Las barras se rellenan un 20 % más rápido, y los ataques cargados un 15 % más rápido."
30,1,1,1: Aumenta un poco la duración de las bonificaciones de las armas.
30,1,2,2: Aumenta la duración de las bonificaciones de las armas.
30,1,3,3: Aumenta mucho la duración de las bonificaciones de las armas.
31,1,1,1: Reduce el consumo gradual de resistencia un 15 %.
